Source IP,Destination IP,Protocol,Source Port,Destination Port,Packet Count,Protocols
192.168.18.114,104.17.111.223,DATA,52505,443,1,['DATA']
192.168.18.114,142.250.71.232,DATA,52507,443,1,['DATA']
192.168.18.114,142.250.198.163,DATA,52509,443,1,['DATA']
192.168.18.114,142.250.198.206,DATA,52510,443,6,['DATA']
192.168.18.114,104.17.111.223,DATA,52511,443,1,['DATA']
192.168.18.114,142.250.198.206,DATA,52508,443,8,['DATA']
192.168.18.114,142.250.76.234,DATA,52501,443,8,['DATA']
192.168.18.114,142.250.76.3,DATA,52500,443,6,['DATA']
192.168.18.114,142.250.198.163,DATA,52513,443,1,['DATA']
192.168.18.114,108.157.32.17,DATA,52516,443,6,['DATA']
192.168.18.114,34.160.128.112,DATA,52515,443,1,['DATA']
192.168.18.114,104.22.52.173,DATA,52517,443,9,['DATA']
192.168.18.114,142.250.197.161,DATA,52520,443,6,['DATA']
192.168.18.114,13.126.70.76,_WS.MALFORMED,52522,443,9,['_WS.MALFORMED']
